,0,1,2,3,4,CityID
60,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810507,Lexington,Kentucky,nonpartisan,,60
61,http://www.ourcampaigns.com/RaceDetail.html?RaceID=822559,Stockton,California,nonpartisan,,61
62,http://www.ourcampaigns.com/RaceDetail.html?RaceID=782546,Pittsburgh,Pennsylvania,partisan,,62
63,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790596,Saint Paul,Minnesota,nonpartisan,,63
64,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803379,Anchorage,Alaska,nonpartisan,,64
65,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789498,Cincinnati,Ohio,nonpartisan,,65
66,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784241,Henderson,Nevada,nonpartisan,,66
67,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792016,Greensboro,North Carolina,nonpartisan,,67
68,http://www.ourcampaigns.com/RaceDetail.html?RaceID=787570,Plano,Texas,nonpartisan,,68
69,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802846,Newark,New Jersey,nonpartisan,,69
70,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806418,Toledo,Ohio,nonpartisan,,70
71,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803380,Lincoln,Nebraska,nonpartisan,,71
72,http://www.ourcampaigns.com/RaceDetail.html?RaceID=815613,Orlando,Florida,nonpartisan,,72
73,none,Chula Vista,California,,,73
74,http://www.ourcampaigns.com/RaceDetail.html?RaceID=781577,Jersey City,New Jersey,nonpartisan,,74
75,http://www.ourcampaigns.com/RaceDetail.html?RaceID=747753,Chandler,Arizona,nonpartisan,,75
76,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808191,Fort Wayne,Indiana,partisan,,76
77,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790352,Buffalo,New York,partisan,,77
78,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808204,Durham,North Carolina,nonpartisan,,78
79,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790869,Saint Petersburg,Florida,nonpartisan,,79
80,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824138,Irvine,California,nonpartisan,,80
81,none,Laredo,Texas,,,81
82,http://www.ourcampaigns.com/RaceDetail.html?RaceID=616988,Lubbock,Texas,nonpartisan,,82
83,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800635,Madison,Wisconsin,nonpartisan,,83
84,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539323,Gilbert,Arizona,nonpartisan,,84
85,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821013,Norfolk,Virginia,nonpartisan,,85
86,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810286,Reno,Nevada,nonpartisan,,86
87,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792003,Winston–Salem,North Carolina,partisan,,87
88,http://www.ourcampaigns.com/RaceDetail.html?RaceID=322357,Glendale,Arizona,nonpartisan,,88
89,http://www.ourcampaigns.com/RaceDetail.html?RaceID=791794,Hialeah,Florida,nonpartisan,,89
90,none,Garland,Texas,,,90
91,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539331,Scottsdale,Arizona,nonpartisan,,91
92,http://www.ourcampaigns.com/RaceDetail.html?RaceID=635717,Irving,Texas,nonpartisan,,92
93,none,Chesapeake,Virginia,,,93
94,http://www.ourcampaigns.com/RaceDetail.html?RaceID=781478,North Las Vegas,Nevada,nonpartisan,,94
