0,571172
1,264014
2,264013
3,735836
4,735835
5,489438
6,735834
7,489398
8,22288
9,513201
10,796325
11,754710
12,388748
13,388751
14,388752
15,689541
16,243399
17,243409
18,243415
19,243397
20,243398
21,795577
22,421395
23,38366
24,141293
25,546535
26,528455
27,263629
28,347823
29,581557
30,546212
31,296639
32,481419
33,784674
34,806920
35,625322
36,291964
37,481786
38,556994
39,226952
40,218998
41,647194
42,31762
43,754810
44,608709
45,754811
46,335032
47,355564
48,747833
49,205592
50,677910
51,607942
52,556079
53,511612
54,375898
55,478494
56,215946
57,215945
58,482276
59,756133
60,52603
61,133106
62,52602
63,133105
64,52601
65,140500
66,785923
67,376888
68,786266
69,739802
70,473365
71,473366
72,473241
73,265647
74,265603
75,790679
76,800689
77,55659
78,688499
79,512707
80,785309
81,799019
82,512777
83,554323
84,481462
85,138313
86,725558
87,373364
88,595545
89,352368
90,505883
91,829643
92,513745
93,548689
94,548696
95,548694
96,548691
97,335024
98,603593
99,786272
100,786278
101,230987
102,230939
103,230936
104,230935
105,230931
106,230929
107,230927
108,230924
109,36017
110,35983
111,83036
112,351382
113,744855
114,609859
115,598198
116,598202
117,597728
118,597723
119,398334
120,28666
121,6447
122,280574
123,551814
124,739499
125,796324
126,38979
127,6773
128,30532
129,729116
130,607957
131,457690
132,371943
133,232316
134,485638
135,485637
136,485636
137,154964
138,304263
139,784569
140,452225
141,6639
142,801902
143,548576
144,377030
145,306230
146,283334
147,264611
148,273659
149,401951
150,79305
151,79303
152,79307
153,79292
154,52548
155,55048
156,6562
157,301999
158,613722
159,613723
160,546656
161,546657
162,86222
163,492459
164,800499
165,756166
166,41088
167,481680
168,808740
169,826639
170,816676
171,91002
172,260329
173,738053
174,736800
175,810297
176,511595
177,511596
178,269515
179,6571
180,786723
181,546442
182,29513
183,321109
184,748664
185,748662
186,748661
187,748666
188,748655
189,94314
190,542319
191,800648
192,274744
193,274743
194,274741
195,274740
196,274739
197,274738
198,29225
199,224786
200,790657
201,131872
202,130600
203,130503
204,130138
205,129476
206,129474
207,128989
208,128987
209,36390
210,19274
211,323753
212,563623
213,806371
214,280214
215,726054
216,625390
217,553628
218,1568
219,664990
220,664992
221,615149
222,548666
223,323752
224,36554
225,174367
226,410604
227,744744
228,473335
229,396845
230,396842
231,396837
232,669277
233,741370
234,693387
235,556609
236,556610
237,820827
238,820830
239,569791
240,654312
241,674691
242,512699
243,512701
244,799187
245,595541
