,0,1,2,3,4
119,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806785,Shreveport,Louisiana,nonpartisan,
120,http://www.ourcampaigns.com/RaceDetail.html?RaceID=49779,Augusta,Georgia,,
121,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821502,Grand Rapids,Michigan,nonpartisan,
122,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790852,Mobile,Alabama,nonpartisan,
123,http://www.ourcampaigns.com/RaceDetail.html?RaceID=805390,Salt Lake City,Utah,nonpartisan,
124,http://www.ourcampaigns.com/RaceDetail.html?RaceID=510737,Huntsville,Alabama,nonpartisan,
125,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802879,Tallahassee,Florida,nonpartisan,
126,none,Grand Prairie,Texas,,
127,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784288,Overland Park,Kansas,nonpartisan,
128,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813133,Knoxville,Tennessee,nonpartisan,
129,http://www.ourcampaigns.com/RaceDetail.html?RaceID=816684,Worcester,Massachusetts,nonpartisan,
130,none,Brownsville,Texas,,
131,none,Newport News,Virginia,,
132,http://www.ourcampaigns.com/RaceDetail.html?RaceID=620896,Santa Clarita,California,nonpartisan,
133,none,Port St. Lucie,Florida,,
134,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792841,Providence,Rhode Island,partisan,
135,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821511,Fort Lauderdale,Florida,nonpartisan,
136,http://www.ourcampaigns.com/RaceDetail.html?RaceID=765763,Chattanooga,Tennessee,nonpartisan,
137,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821739,Tempe,Arizona,nonpartisan,
138,http://www.ourcampaigns.com/RaceDetail.html?RaceID=306197,Oceanside,California,nonpartisan,
139,http://www.ourcampaigns.com/RaceDetail.html?RaceID=823915,Garden Grove,California,nonpartisan,
140,none,Rancho Cucamonga,California,,
0,http://www.ourcampaigns.com/RaceDetail.html?RaceID=212789,Cape Coral,Florida,nonpartisan,
1,none,Santa Rosa,California,,
2,http://www.ourcampaigns.com/RaceDetail.html?RaceID=234211,Vancouver,Washington,nonpartisan,
3,http://www.ourcampaigns.com/RaceDetail.html?RaceID=741369,Sioux Falls,South Dakota,nonpartisan,
4,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539332,Peoria,Arizona,nonpartisan,
5,none,Ontario,California,,
6,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799020,Jackson,Mississippi,partisan,
7,none,Elk Grove,California,,
8,http://www.ourcampaigns.com/RaceDetail.html?RaceID=809182,Springfield,Missouri,nonpartisan,
9,http://www.ourcampaigns.com/RaceDetail.html?RaceID=820842,Pembroke Pines,Florida,nonpartisan,
10,http://www.ourcampaigns.com/RaceDetail.html?RaceID=817959,Salem,Oregon,nonpartisan,
11,none,Corona,California,,
12,http://www.ourcampaigns.com/RaceDetail.html?RaceID=818312,Eugene,Oregon,nonpartisan,
13,none,McKinney,Texas,,
14,none,Fort Collins,Colorado,,
15,none,Lancaster,California,,
16,http://www.ourcampaigns.com/RaceDetail.html?RaceID=390465,Cary,North Carolina,partisan,
17,none,Palmdale,California,,
18,none,Hayward,California,,
19,none,Salinas,California,,
20,none,Frisco,Texas,,
21,http://www.ourcampaigns.com/RaceDetail.html?RaceID=813330,Springfield,Massachusetts,nonpartisan,
22,none,Pasadena,Texas,	,
23,http://www.ourcampaigns.com/RaceDetail.html?RaceID=731571,Macon,Georgia,partisan,
24,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806236,Alexandria,Virginia,partisan,
25,none,Pomona,California,,
26,http://www.ourcampaigns.com/RaceDetail.html?RaceID=819873,Lakewood,Colorado,nonpartisan,
27,none,Sunnyvale,California,,
28,none,Escondido,California,,
29,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784700,Kansas City,Kansas,nonpartisan,
30,http://www.ourcampaigns.com/RaceDetail.html?RaceID=595544,Kansas City,Kansas,nonpartisan,
31,http://www.ourcampaigns.com/RaceDetail.html?RaceID=59526,Hollywood,Florida,partisan,
32,none,Clarksville,Tennessee,,
33,none,Torrance,California,,
34,http://www.ourcampaigns.com/RaceDetail.html?RaceID=786820,Rockford,Illinois,partisan,
35,http://www.ourcampaigns.com/RaceDetail.html?RaceID=799784,Joliet,Illinois,nonpartisan,
36,http://www.ourcampaigns.com/RaceDetail.html?RaceID=613570,Paterson,New Jersey,nonpartisan,
37,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806920,Bridgeport,Connecticut,partisan,
