,State,County,City,web,state,city,CityID
63,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790596,Minnesota,Saint Paul,63.0
64,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803379,Alaska,Anchorage,64.0
65,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=789498,Ohio,Cincinnati,65.0
66,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=784241,Nevada,Henderson,66.0
67,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792016,North Carolina,Greensboro,67.0
68,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=787570,Texas,Plano,68.0
69,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=802846,New Jersey,Newark,69.0
70,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=806418,Ohio,Toledo,70.0
71,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=803380,Nebraska,Lincoln,71.0
72,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=815613,Florida,Orlando,72.0
181,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=781577,New Jersey,Jersey City,74.0
182,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=747753,Arizona,Chandler,75.0
183,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808191,Indiana,Fort Wayne,76.0
184,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790352,New York,Buffalo,77.0
185,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=808204,North Carolina,Durham,78.0
186,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=790869,Florida,Saint Petersburg,79.0
187,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=824138,California,Irvine,80.0
188,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=616988,Texas,Lubbock,82.0
189,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=800635,Wisconsin,Madison,83.0
190,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=539323,Arizona,Gilbert,84.0
191,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=821013,Virginia,Norfolk,85.0
192,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=810286,Nevada,Reno,86.0
193,,,,http://www.ourcampaigns.com/RaceDetail.html?RaceID=792003,North Carolina,Winston–Salem,87.0
