,Name,City,CityID,CandID,Sam,winner ever,winner_key ever,follower ever,follower_key ever,Career Start Year,Career End Year,Wikipedia,Linkedin,Others1,Others2,Others3,Others4,Term Start Year,Web
704, (I) Mayor Rudy Giuliani, New York City ,0.0,4597.0,1.0,1.0,1.0,0.0,0.0,1990.0,2010.0,,http://www.linkedin.com/in/rudygiuliani,http://www.biography.com/people/rudolph-giuliani-9312674,http://www.nyc.gov/html/records/rwg/html/bio.html,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4597
1013, (W) Mayor Rudy Giuliani, New York City ,0.0,4597.0,1.0,1.0,1.0,0.0,0.0,1990.0,2010.0,,http://www.linkedin.com/in/rudygiuliani,http://www.biography.com/people/rudolph-giuliani-9312674,http://www.nyc.gov/html/records/rwg/html/bio.html,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4597
6835, US Attorney Rudy Giuliani, New York City ,0.0,4597.0,1.0,1.0,1.0,0.0,0.0,1990.0,2010.0,,http://www.linkedin.com/in/rudygiuliani,http://www.biography.com/people/rudolph-giuliani-9312674,http://www.nyc.gov/html/records/rwg/html/bio.html,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4597
220, (I) Mayor David Dinkins, New York City ,0.0,34805.0,0.0,1.0,1.0,1.0,0.0,1990.0,1994.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=34805
1634, Borough President David Dinkins, New York City ,0.0,34805.0,0.0,1.0,1.0,1.0,0.0,1990.0,1994.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=34805
1246, Ambassador Ronald S. Lauder, New York City ,0.0,42181.0,0.0,0.0,0.0,1.0,0.0,1990.0,1990.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=42181
4553, Lenora Fulani, New York City ,0.0,4188.0,0.0,0.0,0.0,1.0,0.0,1986.0,1990.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=4188
3679, James E. Harris, New York City ,0.0,1013.0,0.0,0.0,0.0,1.0,0.0,1985.0,2009.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=1013
6297, St. Rep. John A. Esposito, New York City ,0.0,42103.0,0.0,0.0,0.0,1.0,0.0,1982.0,1982.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=42103
263, (I) Mayor Edward I. Koch, New York City ,0.0,10555.0,0.0,1.0,1.0,1.0,0.0,1978.0,1990.0,,,,,,,3,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=10555
5705, Rep. Edward I. Koch, New York City ,0.0,10555.0,0.0,1.0,1.0,1.0,0.0,1978.0,1990.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=10555
2955, Elijah C. Boyd, New York City ,0.0,19465.0,0.0,1.0,0.0,0.0,0.0,1978.0,1978.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19465
3080, Francine Youngstein, New York City ,0.0,55818.0,0.0,0.0,0.0,1.0,0.0,1974.0,1974.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=55818
2528, Daniel B. Fein, New York City ,0.0,63040.0,0.0,0.0,0.0,1.0,0.0,1974.0,2014.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=63040
6419, St. Sen. John J. Marchi, New York City ,0.0,6043.0,0.0,0.0,0.0,1.0,0.0,1970.0,1974.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6043
93," (I) Mayor Abraham D. ""Abe"" Beame", New York City ,0.0,42058.0,0.0,1.0,1.0,0.0,0.0,1966.0,1978.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=42058
2409," Controller Abraham D. ""Abe"" Beame", New York City ,0.0,42058.0,0.0,1.0,1.0,0.0,0.0,1966.0,1978.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=42058
6369, St. Rep. Vito P. Battista, New York City ,0.0,28930.0,0.0,1.0,0.0,0.0,0.0,1958.0,1978.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=28930
6877, Vito P. Battista, New York City ,0.0,28930.0,0.0,1.0,0.0,0.0,0.0,1958.0,1978.0,,,,,,,3,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=28930
675," (I) Mayor Robert F. Wagner, Jr.", New York City ,0.0,19523.0,0.0,0.0,1.0,0.0,0.0,1954.0,1974.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19523
1245," Ambassador Robert F. Wagner, Jr.", New York City ,0.0,19523.0,0.0,0.0,1.0,0.0,0.0,1954.0,1974.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19523
1639," Borough President Robert F. Wagner, Jr.", New York City ,0.0,19523.0,0.0,0.0,1.0,0.0,0.0,1954.0,1974.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19523
2113, City Councilmember Eric Garcetti, Los Angeles ,1.0,64251.0,0.0,1.0,1.0,0.0,0.0,2013.0,2013.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=64251
1980, City Controller Wendy Greuel, Los Angeles ,1.0,65530.0,0.0,0.0,0.0,1.0,0.0,2013.0,2013.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=65530
2581," David ""Zuma Dogg"" Saltsburg", Los Angeles ,1.0,133543.0,0.0,1.0,0.0,0.0,0.0,2009.0,2009.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=133543
6919, Walter Moore, Los Angeles ,1.0,51066.0,0.0,0.0,0.0,1.0,0.0,2005.0,2009.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=51066
388," (I) Mayor James K. ""Jim"" Hahn", Los Angeles ,1.0,19151.0,1.0,1.0,1.0,1.0,0.0,2001.0,2005.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19151
1948," City Attorney James K. ""Jim"" Hahn", Los Angeles ,1.0,19151.0,1.0,1.0,1.0,1.0,0.0,2001.0,2005.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19151
118, (I) Mayor Antonio Villaraigosa, Los Angeles ,1.0,19174.0,1.0,1.0,1.0,1.0,0.0,2001.0,2009.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19174
2028, City Councilmember Antonio Villaraigosa, Los Angeles ,1.0,19174.0,1.0,1.0,1.0,1.0,0.0,2001.0,2009.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19174
6239, St. Rep. Antonio Villaraigosa, Los Angeles ,1.0,19174.0,1.0,1.0,1.0,1.0,0.0,2001.0,2009.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19174
1721, Candido J. Marez, Los Angeles ,1.0,19182.0,0.0,1.0,0.0,0.0,0.0,1997.0,1997.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19182
4576, Leonard Shapiro, Los Angeles ,1.0,19183.0,0.0,0.0,0.0,1.0,0.0,1997.0,1997.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19183
664, (I) Mayor Richard Riordan, Los Angeles ,1.0,6303.0,1.0,1.0,1.0,0.0,0.0,1993.0,1997.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6303
5816, Richard Riordan, Los Angeles ,1.0,6303.0,1.0,1.0,1.0,0.0,0.0,1993.0,1997.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=6303
2237," City Councilmember Michael ""Mike"" Woo", Los Angeles ,1.0,19185.0,1.0,0.0,0.0,1.0,0.0,1993.0,1993.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=19185
2253, City Councilmember Nate Holden, Los Angeles ,1.0,35647.0,0.0,1.0,0.0,0.0,0.0,1989.0,1993.0,,,,,,,2,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=35647
4572, Leonard Miropol, Los Angeles ,1.0,92298.0,0.0,0.0,0.0,1.0,0.0,1989.0,1989.0,,,,,,,1,http://www.ourcampaigns.com/CandidateDetail.html?CandidateID=92298
