,State,StateID
308,arkansas,2.0
309,arkansas,2.0
310,arkansas,2.0
311,arkansas,2.0
312,arkansas,2.0
313,arkansas,2.0
314,arkansas,2.0
315,arkansas,2.0
316,arkansas,2.0
317,arkansas,2.0
318,arkansas,2.0
319,arkansas,2.0
320,arkansas,2.0
321,arkansas,2.0
322,arkansas,2.0
323,arkansas,2.0
324,arkansas,2.0
325,arkansas,2.0
326,arkansas,2.0
327,arkansas,2.0
328,arkansas,2.0
329,arkansas,2.0
330,arkansas,2.0
331,arkansas,2.0
332,arizona,3.0
333,arizona,3.0
334,arizona,3.0
335,arizona,3.0
336,arizona,3.0
337,arizona,3.0
338,arizona,3.0
339,arizona,3.0
340,arizona,3.0
341,arizona,3.0
342,arizona,3.0
343,arizona,3.0
344,arizona,3.0
345,arizona,3.0
346,arizona,3.0
347,arizona,3.0
348,arizona,3.0
349,arizona,3.0
350,arizona,3.0
351,arizona,3.0
352,arizona,3.0
353,arizona,3.0
354,arizona,3.0
355,arizona,3.0
356,arizona,3.0
357,arizona,3.0
358,arizona,3.0
359,arizona,3.0
360,arizona,3.0
361,arizona,3.0
362,arizona,3.0
363,arizona,3.0
364,arizona,3.0
365,arizona,3.0
366,arizona,3.0
367,arizona,3.0
368,arizona,3.0
369,arizona,3.0
370,arizona,3.0
371,arizona,3.0
372,arizona,3.0
373,arizona,3.0
374,arizona,3.0
375,arizona,3.0
376,arizona,3.0
377,arizona,3.0
378,arizona,3.0
379,arizona,3.0
380,arizona,3.0
381,arizona,3.0
382,arizona,3.0
383,arizona,3.0
384,arizona,3.0
385,arizona,3.0
386,arizona,3.0
387,arizona,3.0
388,arizona,3.0
389,arizona,3.0
390,arizona,3.0
391,arizona,3.0
392,arizona,3.0
393,arizona,3.0
394,arizona,3.0
395,arizona,3.0
396,arizona,3.0
397,arizona,3.0
398,arizona,3.0
399,arizona,3.0
400,arizona,3.0
401,arizona,3.0
402,arizona,3.0
403,arizona,3.0
404,arizona,3.0
405,arizona,3.0
406,arizona,3.0
407,arizona,3.0
408,arizona,3.0
409,arizona,3.0
410,arizona,3.0
411,arizona,3.0
412,arizona,3.0
413,arizona,3.0
414,arizona,3.0
415,arizona,3.0
416,arizona,3.0
417,arizona,3.0
418,arizona,3.0
419,arizona,3.0
420,arizona,3.0
421,arizona,3.0
422,arizona,3.0
423,arizona,3.0
424,arizona,3.0
425,arizona,3.0
426,arizona,3.0
427,arizona,3.0
428,arizona,3.0
429,arizona,3.0
430,arizona,3.0
431,arizona,3.0
432,arizona,3.0
433,arizona,3.0
434,arizona,3.0
435,arizona,3.0
436,arizona,3.0
437,arizona,3.0
438,arizona,3.0
439,arizona,3.0
440,arizona,3.0
441,arizona,3.0
442,arizona,3.0
443,arizona,3.0
444,arizona,3.0
445,arizona,3.0
446,arizona,3.0
447,arizona,3.0
448,arizona,3.0
449,california,4.0
450,california,4.0
451,california,4.0
452,california,4.0
453,california,4.0
454,california,4.0
455,california,4.0
456,california,4.0
457,california,4.0
458,california,4.0
459,california,4.0
460,california,4.0
461,california,4.0
462,california,4.0
463,california,4.0
464,california,4.0
465,california,4.0
466,california,4.0
467,california,4.0
468,california,4.0
469,california,4.0
470,california,4.0
471,california,4.0
472,california,4.0
473,california,4.0
474,california,4.0
475,california,4.0
476,california,4.0
